method,duration,bias,cost,tau_p,tau_v
pHREML_wAKDEc,1,0.768947173,24.78520679,86164.091,3600
KDE,1,0.056133379,0.31354785,86164.091,3600
pHREML_AKDEc,1,0.282859522,27.97090387,86164.091,3600
AKDE,1,0.42735965,12.08362722,86164.091,3600
pHREML_wAKDEc,1,0.347032026,20.4689281,86164.091,3600
KDE,1,0.052451992,0.308699608,86164.091,3600
AKDE,1,0.453171935,11.16118217,86164.091,3600
AKDEc,1,0.267099782,11.72161412,86164.091,3600
AKDE,1,0.138429862,13.44124365,86164.091,3600
AKDEc,1,0.262192344,10.27571821,86164.091,3600
pHREML_wAKDEc,1,0.270886691,22.21693587,86164.091,3600
KDE,1,0.244838977,0.313595533,86164.091,3600
AKDEc,1,0.090328344,12.12110496,86164.091,3600
pHREML_AKDEc,1,0.318363616,20.59056497,86164.091,3600
AKDE,1,0.817000898,13.5704484,86164.091,3600
pHREML_AKDEc,1,0.425704164,17.03307557,86164.091,3600
AKDEc,1,0.501030955,12.41445613,86164.091,3600
pHREML_wAKDEc,1,0.42793436,17.9110837,86164.091,3600
KDE,1,0.192128157,0.122541904,86164.091,3600
pHREML_AKDEc,1,0.104953916,24.8290875,86164.091,3600
pHREML_wAKDEc,1,0.317240791,20.65340447,86164.091,3600
KDE,1,0.080826226,0.123309135,86164.091,3600
AKDE,1,0.607481948,11.51063871,86164.091,3600
AKDE,1,0.227291917,10.57165313,86164.091,3600
pHREML_AKDEc,1,0.604107738,20.79931116,86164.091,3600
AKDEc,1,0.365985527,11.23646927,86164.091,3600
AKDEc,1,0.140694269,10.93142319,86164.091,3600
pHREML_wAKDEc,1,0.111771783,26.38092422,86164.091,3600
KDE,1,0.302134328,0.121586323,86164.091,3600
pHREML_wAKDEc,1,0.579953044,21.34424281,86164.091,3600
KDE,1,0.05686768,0.339629173,86164.091,3600
pHREML_AKDEc,1,0.191998315,17.78846216,86164.091,3600
pHREML_AKDEc,1,0.475343546,21.6370914,86164.091,3600
AKDE,1,0.752124024,21.0400362,86164.091,3600
AKDE,1,0.131460776,15.76642275,86164.091,3600
pHREML_wAKDEc,1,0.186049801,18.20900488,86164.091,3600
KDE,1,0.194524005,0.353930235,86164.091,3600
AKDEc,1,0.462212783,12.96103406,86164.091,3600
pHREML_wAKDEc,1,0.501263051,19.17423892,86164.091,3600
KDE,1,0.094545376,0.119370461,86164.091,3600
AKDEc,1,0.085789941,15.33022213,86164.091,3600
AKDE,1,0.5408785,15.10180974,86164.091,3600
AKDE,1,0.207220761,11.4719696,86164.091,3600
AKDEc,1,0.132936226,11.21217442,86164.091,3600
pHREML_AKDEc,1,0.554545076,26.48358154,86164.091,3600
AKDEc,1,0.334106372,16.07629371,86164.091,3600
pHREML_AKDEc,1,0.096810733,26.47115469,86164.091,3600
pHREML_AKDEc,1,0.153284348,19.39191937,86164.091,3600
pHREML_wAKDEc,1,0.55839289,23.64390254,86164.091,3600
KDE,1,0.156438886,0.319374561,86164.091,3600
pHREML_AKDEc,1,0.4103455,26.60076904,86164.091,3600
pHREML_wAKDEc,1,0.098352838,26.51871419,86164.091,3600
KDE,1,0.146993008,0.151845217,86164.091,3600
AKDE,1,0.695608969,11.19692636,86164.091,3600
pHREML_wAKDEc,1,0.161898015,19.56162,86164.091,3600
KDE,1,0.251484535,0.309117317,86164.091,3600
AKDEc,1,0.402948893,11.30200124,86164.091,3600
AKDE,1,1.193519677,11.79148102,86164.091,3600
AKDE,1,0.429072697,20.75822926,86164.091,3600
pHREML_wAKDEc,1,0.409612539,27.3968401,86164.091,3600
KDE,1,0.096057008,0.343711138,86164.091,3600
AKDEc,1,0.721161156,11.48241043,86164.091,3600
pHREML_AKDEc,1,0.634355111,19.20435739,86164.091,3600
AKDEc,1,0.266087394,13.75282526,86164.091,3600
AKDE,1,0.335352166,18.40365267,86164.091,3600
pHREML_AKDEc,1,0.92456703,19.48330927,86164.091,3600
pHREML_wAKDEc,1,0.660313882,18.13092756,86164.091,3600
KDE,1,0.120544631,0.127922058,86164.091,3600
