tau_p,tau_v,dur,dti,error,error_lci,error_uci
86400.002,3600,691200,21600,-0.236237059,-0.372173567304248,-0.0939802301495832
86400.002,3600,691200,10800,-0.151016849,-0.20788442795369,-0.0931926617658381
86400.002,3600,691200,5400,0.035139007,-0.027633406305866,0.0988655695632061
86400.002,3600,691200,2700,0.021336821,0.00315376979052451,0.0396000495447645
86400.002,3600,691200,1350,0.018384261,0.0014011998820629,0.0354374470992125
86400.002,3600,691200,675,0.019683789,0.00510034977732236,0.0343188397418806
86400.002,3600,691200,338,0.019763601,-0.0072987502409103,0.0470042396530258
86400.002,3600,691200,169,0.014915271,-0.0129024566039188,0.0429223231496622
86400.002,3600,691200,84,0.016520706,0.0119881030433865,0.0210582976754108
86400.002,3600,691200,42,0.01643275,0.0111516797095028,0.0217205945880738
86400.002,3600,691200,20,0.016057582,0.0157328868723539,0.0163823029656296
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,-0.252314336,-0.488698249451175,0.0049629370026195
86400.002,3600,1382400,21600,-0.185339722,-0.265274090267341,-0.103416140811652
86400.002,3600,1382400,10800,-0.021195359,-0.128332482225026,0.0889273666776588
86400.002,3600,1382400,5400,0.038748173,0.00235060648661876,0.0754630808757099
86400.002,3600,1382400,2700,0.033878691,0.022377781440301,0.0454112324448478
86400.002,3600,1382400,1350,0.032664442,0.0223330016180862,0.0430214305983914
86400.002,3600,1382400,675,0.034777416,0.0243369990957801,0.0452438705801566
86400.002,3600,1382400,338,0.033174691,0.0131496469522925,0.0532959050672157
86400.002,3600,1382400,169,0.032442661,0.0161737022217514,0.0487750802756341
86400.002,3600,1382400,84,0.03779475,0.0338863622866595,0.0417067705669373
86400.002,3600,1382400,42,0.038084065,0.0347317976167779,0.0414390045038559
86400.002,3600,1382400,20,0.037524727,0.0373702613149211,0.0376791993826294
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,-0.000245726,-0.339950657057866,0.372187319015409
86400.002,3600,2764800,10800,-0.030352424,-0.112580877242829,0.0536369544482481
86400.002,3600,2764800,5400,0.015282595,-0.0159769912909851,0.0467813848888431
86400.002,3600,2764800,2700,0.005034109,-0.00316970389135035,0.0132544666571317
86400.002,3600,2764800,1350,0.004413611,-0.00138914048683117,0.0102246406974813
86400.002,3600,2764800,675,0.006150142,-0.00235762289732535,0.0146756822102826
86400.002,3600,2764800,338,0.004618948,-0.00915942677130093,0.0184440773038212
86400.002,3600,2764800,169,0.004370158,-0.00722452434875946,0.0159979389969784
86400.002,3600,2764800,84,0.01025504,0.00749399009367261,0.0130179509785726
86400.002,3600,2764800,42,0.0103969,0.0075865282530948,0.0132092000465538
86400.002,3600,2764800,20,0.011022121,0.0108909310926708,0.0111533157014704
86400.002,3600,5529600,86400,,,
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,-0.057600528,-0.310232670291366,0.213474087474391
86400.002,3600,5529600,10800,-0.056491635,-0.138634033911045,0.0274579947211254
86400.002,3600,5529600,5400,-0.002020764,-0.0325228855502115,0.0287130432242366
86400.002,3600,5529600,2700,0.002462717,-0.00286444035347321,0.00779686302834449
86400.002,3600,5529600,1350,0.002279309,-0.00320540338191841,0.00777143267834949
86400.002,3600,5529600,675,0.002528176,-0.00372610639902337,0.00879209282810584
86400.002,3600,5529600,338,0.003617452,-0.00586777457296367,0.0131248340557598
86400.002,3600,5529600,169,0.004210979,-0.00470593800669895,0.0131474610306901
86400.002,3600,5529600,84,0.00293621,0.00121096951490418,0.00466218181645509
86400.002,3600,5529600,42,0.003029147,0.000558709142706407,0.00550108551478551
86400.002,3600,5529600,20,0.003016013,0.00291718399106714,0.00311484457633497
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.011459063,-0.26104651364057,0.255154109730119
86400.002,3600,86400,5400,-0.052627631,-0.126458995749316,0.0226536043056507
86400.002,3600,86400,2700,0.000313276,-0.0446137638928247,0.0457437844737502
86400.002,3600,86400,1350,-0.001411895,-0.0434302313849189,0.0410472351149936
86400.002,3600,86400,675,-0.008112531,-0.0447048183756169,0.0288158290354171
86400.002,3600,86400,338,-0.007596479,-0.0669537597562173,0.0526504742496377
86400.002,3600,86400,169,0.000595179,-0.0679060115110812,0.0702746183392994
86400.002,3600,86400,84,-0.000937588,-0.0151255122358432,0.0133001925026049
86400.002,3600,86400,42,-0.003598572,-0.0190096810975518,0.0118715383909285
86400.002,3600,86400,20,-0.004525289,-0.00514440716879111,-0.00390607613323391
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,,,
86400.002,3600,172800,10800,-0.080578756,-0.189719404312274,0.0318708965627002
86400.002,3600,172800,5400,-0.053405101,-0.100169675898404,-0.0060633355863774
86400.002,3600,172800,2700,-0.008517404,-0.0447413042199284,0.0280359380515709
86400.002,3600,172800,1350,-0.004555527,-0.0357103440041111,0.0268416624867485
86400.002,3600,172800,675,-0.005602802,-0.0341106766791036,0.0231080776519984
86400.002,3600,172800,338,0.003346822,-0.0709329296142321,0.0790105577607902
86400.002,3600,172800,169,-0.006603744,-0.0580123252353824,0.0454699467500093
86400.002,3600,172800,84,-0.010813865,-0.022068442574724,0.000472375298934952
86400.002,3600,172800,42,-0.012077356,-0.0214985195158758,-0.00263398829766517
86400.002,3600,172800,20,-0.010469227,-0.0109190935398929,-0.0100193104711737
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,-0.309520358,-0.567704192184624,-0.0233599339500208
86400.002,3600,345600,21600,,,
86400.002,3600,345600,10800,0.022365766,-0.182985456800952,0.238596665625193
86400.002,3600,345600,5400,0.03634291,-0.0407253367024856,0.114853716194389
86400.002,3600,345600,2700,0.013971521,-0.0126856943316134,0.0408027015574598
86400.002,3600,345600,1350,0.018354684,-0.0055366215956591,0.0423850207737029
86400.002,3600,345600,675,0.012269317,-0.0118554352759868,0.0365366980380181
86400.002,3600,345600,338,0.035476766,-0.00517740396083208,0.0765285594142002
86400.002,3600,345600,169,0.038134691,0.00815047217178592,0.0683340369599226
86400.002,3600,345600,84,0.029967402,0.0224736201184469,0.0374746523084451
86400.002,3600,345600,42,0.030075978,0.0208360392860723,0.0393363989150632
86400.002,3600,345600,20,0.030210871,0.0297807139367062,0.0306410729160142
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.373162487,-0.547957077877728,-0.185019733823224
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,-0.011464436,-0.196340561476964,0.182477895721968
86400.002,3600,691200,5400,0.013041222,-0.0571712951521628,0.0844767012532461
86400.002,3600,691200,2700,0.001561426,-0.0128194035997194,0.0159933515828691
86400.002,3600,691200,1350,0.001736536,-0.0153424124199531,0.0188875902022331
86400.002,3600,691200,675,0.001023361,-0.0148173103015398,0.0169260855982008
86400.002,3600,691200,338,0.006199519,-0.0179055806770316,0.0304478774665661
86400.002,3600,691200,169,0.008184928,-0.020558770322444,0.0371321738822684
86400.002,3600,691200,84,0.00894084,0.00190287696482983,0.0159909285609424
86400.002,3600,691200,42,0.008472245,0.00371383246387279,0.013236199070161
86400.002,3600,691200,20,0.008557856,0.00828843579635517,0.00882729319839776
86400.002,3600,1382400,86400,-0.606289402,-0.741295016738078,-0.458132429655597
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,-0.033080268,-0.174086327680234,0.113229884190872
86400.002,3600,1382400,5400,-0.034278221,-0.0705948387776238,0.00237845989667235
86400.002,3600,1382400,2700,-0.012998339,-0.0240813586064261,-0.00188454728472574
86400.002,3600,1382400,1350,-0.012321362,-0.0243447548269353,-0.000261770553599334
86400.002,3600,1382400,675,-0.011134185,-0.0240883954659384,0.00186200452399247
86400.002,3600,1382400,338,-0.012247806,-0.0318430803545361,0.00744380014396385
86400.002,3600,1382400,169,-0.016736466,-0.0350034061721078,0.00161454364481819
86400.002,3600,1382400,84,-0.010918866,-0.0148052301138754,-0.00702873240070044
86400.002,3600,1382400,42,-0.011499671,-0.015075608411092,-0.00792054035093881
86400.002,3600,1382400,20,-0.010931496,-0.0111082832243348,-0.0107547004395431
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,,,
86400.002,3600,2764800,10800,-0.014640871,-0.111169244111564,0.0842856924817828
86400.002,3600,2764800,5400,-0.004671932,-0.036412090379231,0.0273198610906217
86400.002,3600,2764800,2700,-0.005998041,-0.0135318610889119,0.00154988388134449
86400.002,3600,2764800,1350,-0.00457477,-0.0139263744074852,0.00479854738492405
86400.002,3600,2764800,675,-0.006485208,-0.0143353699162652,0.00138027780820605
86400.002,3600,2764800,338,-0.008156453,-0.0190299365016145,0.00274650368677971
86400.002,3600,2764800,169,-0.009543694,-0.0257198388036334,0.00669785976878209
86400.002,3600,2764800,84,-0.001948786,-0.00521567347367512,0.00132074065071962
86400.002,3600,2764800,42,-0.002594973,-0.0058551291519783,0.00066781353322763
86400.002,3600,2764800,20,-0.002328019,-0.002502964876542,-0.00215306478716634
86400.002,3600,5529600,86400,,,
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,0.127193642,-0.362773634274873,0.681630826483968
86400.002,3600,5529600,10800,-0.057887838,-0.107408185121088,-0.00771659671385848
86400.002,3600,5529600,5400,0.000968804,-0.0257027094950731,0.0278167484096531
86400.002,3600,5529600,2700,0.000776658,-0.00523508065455647,0.00679731472294768
86400.002,3600,5529600,1350,-0.000477572,-0.0047282531528819,0.00377757134660844
86400.002,3600,5529600,675,8.21e-05,-0.00608895076790417,0.00626257529963229
86400.002,3600,5529600,338,0.003130508,-0.00481106654750498,0.0110876156574831
86400.002,3600,5529600,169,0.004597994,-0.00404245254603569,0.0132568025353649
86400.002,3600,5529600,84,0.005646304,0.00322428769571259,0.00806975988804784
86400.002,3600,5529600,42,0.005209502,0.00321629089581954,0.00720368893246021
86400.002,3600,5529600,20,0.005331783,0.00524885144538705,0.00541471673016563
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.311713924,-0.497557843774284,-0.112191490050072
86400.002,3600,86400,5400,-0.320746567,-0.373545108373177,-0.266913948587462
86400.002,3600,86400,2700,-0.240632348,-0.287810324706102,-0.192719356184494
86400.002,3600,86400,1350,-0.241446751,-0.284520087233819,-0.197761047388222
86400.002,3600,86400,675,-0.242853119,-0.265622235613031,-0.219913858272925
86400.002,3600,86400,338,-0.261013575,-0.300546887653756,-0.220951263609214
86400.002,3600,86400,169,-0.246841321,-0.298354480898156,-0.194442963924873
86400.002,3600,86400,84,-0.196860679,-0.204869107058737,-0.188832511940794
86400.002,3600,86400,42,-0.196288279,-0.206561299208573,-0.18598277855481
86400.002,3600,86400,20,-0.194153202,-0.194938766868468,-0.193367448194022
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,,,
86400.002,3600,172800,10800,-0.159044129,-0.34559564889399,0.0385259880398418
86400.002,3600,172800,5400,-0.191435901,-0.238282492474725,-0.143909524526524
86400.002,3600,172800,2700,-0.117001135,-0.148063779812438,-0.0856665796650882
86400.002,3600,172800,1350,-0.112464346,-0.144059698214156,-0.0805890811650463
86400.002,3600,172800,675,-0.12109961,-0.15119950981355,-0.0907432688763616
86400.002,3600,172800,338,-0.07251289,-0.156207517373869,0.0130922807378399
86400.002,3600,172800,169,-0.075975923,-0.149065873679693,-0.0014286395003875
86400.002,3600,172800,84,-0.089468058,-0.100794215320968,-0.078107054653282
86400.002,3600,172800,42,-0.089069567,-0.0971953527862377,-0.0809258698984741
86400.002,3600,172800,20,-0.087765985,-0.0881652256388421,-0.0873667014819771
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,-0.656423366,-0.781421306427756,-0.518334154408325
86400.002,3600,345600,21600,,,
86400.002,3600,345600,10800,-0.204152714,-0.286783944874675,-0.119341378495261
86400.002,3600,345600,5400,-0.103724707,-0.187842151787196,-0.0176078089741005
86400.002,3600,345600,2700,-0.07781,-0.111248457389201,-0.0440697486454515
86400.002,3600,345600,1350,-0.079666186,-0.10207809110922,-0.0571188708243699
86400.002,3600,345600,675,-0.07831022,-0.100828333948978,-0.0556556079384665
86400.002,3600,345600,338,-0.037714522,-0.10433055380846,0.0300604300177593
86400.002,3600,345600,169,-0.050575731,-0.101798973124127,0.00133885713451409
86400.002,3600,345600,84,-0.076176205,-0.0827531350694934,-0.069587708943829
86400.002,3600,345600,42,-0.074666439,-0.0821213076874449,-0.0671967327726559
86400.002,3600,345600,20,-0.076355552,-0.0767318538400199,-0.0759792120405442
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,,,
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,-0.077012468,-0.265788811838218,0.121964439650637
86400.002,3600,691200,5400,-0.077393332,-0.129922066417139,-0.0241157766422371
86400.002,3600,691200,2700,-0.037174169,-0.0518527192921215,-0.0224402308874178
86400.002,3600,691200,1350,-0.041540977,-0.0580273537665634,-0.0249843742060815
86400.002,3600,691200,675,-0.040405645,-0.0584586719061515,-0.0222684767067875
86400.002,3600,691200,338,-0.045675979,-0.0834482067138644,-0.00753128264432721
86400.002,3600,691200,169,-0.044141783,-0.0687830180974079,-0.0193428845050635
86400.002,3600,691200,84,-0.040922671,-0.0477529882956247,-0.0340803391364419
86400.002,3600,691200,42,-0.039691373,-0.0447259762136623,-0.0346502539807483
86400.002,3600,691200,20,-0.040609082,-0.0408042047021728,-0.0404139490439835
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,-0.100386573,-0.19716921701056,-0.000954762798459462
86400.002,3600,1382400,5400,-0.049540424,-0.0996978260079377,0.00127890340657552
86400.002,3600,1382400,2700,-0.018003565,-0.0283812771711066,-0.00759874095179428
86400.002,3600,1382400,1350,-0.019862905,-0.0293010901560563,-0.0104022564532889
86400.002,3600,1382400,675,-0.020205519,-0.0307866123770199,-0.0095961756355606
86400.002,3600,1382400,338,-0.028030225,-0.0476408325216815,-0.00832155815624803
86400.002,3600,1382400,169,-0.030818588,-0.0506375670145882,-0.0108991594325394
86400.002,3600,1382400,84,-0.019615328,-0.0235919321997632,-0.0156347428383028
86400.002,3600,1382400,42,-0.020389532,-0.0243564589272374,-0.0164186407393766
86400.002,3600,1382400,20,-0.019851385,-0.0200442534479442,-0.0196585071247064
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,,,
86400.002,3600,2764800,10800,-0.085134323,-0.153041633578274,-0.0159583595371165
86400.002,3600,2764800,5400,-0.024006309,-0.0666131466592646,0.019064454947881
86400.002,3600,2764800,2700,-0.01349396,-0.0197103184795819,-0.00726792891651349
86400.002,3600,2764800,1350,-0.015243519,-0.0236733521987079,-0.00679585445589254
86400.002,3600,2764800,675,-0.01534992,-0.0249513611301307,-0.00572533837087075
86400.002,3600,2764800,338,-0.009685127,-0.0199832318092853,0.000639450408626968
86400.002,3600,2764800,169,-0.012011053,-0.0231118247206562,-0.000879442156504971
86400.002,3600,2764800,84,-0.010373658,-0.0134654124943943,-0.00727952066391795
86400.002,3600,2764800,42,-0.010554752,-0.0126805714506559,-0.00842780537584574
86400.002,3600,2764800,20,-0.010248341,-0.0103837719603462,-0.010112905702894
86400.002,3600,5529600,86400,,,
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,0.000262028,-0.343761975285166,0.377920458995051
86400.002,3600,5529600,10800,-0.02773454,-0.0928808678967788,0.0385080178703547
86400.002,3600,5529600,5400,-0.0185463,-0.0382668553205345,0.00127245716518565
86400.002,3600,5529600,2700,-0.004615958,-0.00959557564561175,0.000369808630391789
86400.002,3600,5529600,1350,-0.00500961,-0.0125724681236987,0.00256744866771258
86400.002,3600,5529600,675,-0.004654314,-0.0102380805123919,0.000937186091569192
86400.002,3600,5529600,338,-0.004614225,-0.0135018828947969,0.00429304312440405
86400.002,3600,5529600,169,-0.005363425,-0.0143662688472044,0.00365955676527961
86400.002,3600,5529600,84,-0.00634484,-0.00804222876312347,-0.00464673702378168
86400.002,3600,5529600,42,-0.006435663,-0.0084716596439,-0.0043986374482176
86400.002,3600,5529600,20,-0.006339511,-0.00642885400575086,-0.00625016684229023
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.213107124,-0.493819951826047,0.0963021096644257
86400.002,3600,86400,5400,-0.061370642,-0.211747288707034,0.0952547775053711
86400.002,3600,86400,2700,-0.077232641,-0.121434481623794,-0.0325020494029046
86400.002,3600,86400,1350,-0.074244441,-0.136434360854713,-0.0110052856481648
86400.002,3600,86400,675,-0.079859081,-0.124280357898175,-0.0349022083780425
86400.002,3600,86400,338,-0.075484209,-0.143427865545691,-0.0062840818442425
86400.002,3600,86400,169,-0.088133814,-0.137382200459144,-0.0382200301353208
86400.002,3600,86400,84,-0.059320574,-0.0755813620247197,-0.0429901770599457
86400.002,3600,86400,42,-0.056828199,-0.0734897802306935,-0.0400937214023389
86400.002,3600,86400,20,-0.061489231,-0.0620289766231245,-0.0609494098347497
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,-0.356974309,-0.630247526095915,-0.0488051798514258
86400.002,3600,172800,10800,-0.273136828,-0.386698946330115,-0.154979878793062
86400.002,3600,172800,5400,-0.045635249,-0.276228504526996,0.199931616744014
86400.002,3600,172800,2700,-0.088088032,-0.132471932816549,-0.0431645512479669
86400.002,3600,172800,1350,-0.086767965,-0.144218920864726,-0.0284104744904717
86400.002,3600,172800,675,-0.085318667,-0.130244280706417,-0.0398418252116189
86400.002,3600,172800,338,-0.060935726,-0.144039485244297,0.0240274248825614
86400.002,3600,172800,169,-0.076084552,-0.156397517996642,0.00599260280128573
86400.002,3600,172800,84,-0.084949917,-0.0939734462963337,-0.0759043939315646
86400.002,3600,172800,42,-0.083285664,-0.0922655347331409,-0.0742840522016087
86400.002,3600,172800,20,-0.084647096,-0.0851468946034601,-0.0841472309484847
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,-0.337083171,-0.504338373687329,-0.158427663623657
86400.002,3600,345600,10800,-0.178326876,-0.253470280105241,-0.101444377514911
86400.002,3600,345600,5400,-0.062669042,-0.146073950172843,0.0226125160572129
86400.002,3600,345600,2700,-0.051872172,-0.0806997320854395,-0.0228267944889288
86400.002,3600,345600,1350,-0.051774804,-0.0753190629592912,-0.0280854834804865
86400.002,3600,345600,675,-0.044825643,-0.0748806507139855,-0.0145355527947105
86400.002,3600,345600,338,-0.061390711,-0.0978131145518918,-0.0246162617108379
86400.002,3600,345600,169,-0.059573229,-0.090644297422379,-0.0282468657891643
86400.002,3600,345600,84,-0.046893677,-0.0534588706779056,-0.040317313407369
86400.002,3600,345600,42,-0.047461801,-0.0546313168603003,-0.0402789557555195
86400.002,3600,345600,20,-0.047726885,-0.0480948230935472,-0.0473589115283069
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.249437244,-0.596740820529339,0.147615225401486
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,-0.080312926,-0.244881790117783,0.0919517025600509
86400.002,3600,691200,5400,-0.0384683,-0.11184125302346,0.0363147735736116
86400.002,3600,691200,2700,-0.03200819,-0.048774988054483,-0.0151694700723205
86400.002,3600,691200,1350,-0.033371627,-0.0520192449816418,-0.0146348743484685
86400.002,3600,691200,675,-0.031987011,-0.0518160540883863,-0.0120572948902236
86400.002,3600,691200,338,-0.033947275,-0.058681908243181,-0.00905546469905721
86400.002,3600,691200,169,-0.037626932,-0.0660149993994037,-0.00903081593865565
86400.002,3600,691200,84,-0.035473413,-0.0398859648503722,-0.0310558775294265
86400.002,3600,691200,42,-0.035235505,-0.0400810435076364,-0.0303839589322797
86400.002,3600,691200,20,-0.035175397,-0.0354285909077651,-0.03492218649615
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,-0.093820524,-0.20183407530003,0.0174819667738075
86400.002,3600,1382400,5400,-0.025118258,-0.0713735239134234,0.0216850028523143
86400.002,3600,1382400,2700,-0.013750232,-0.0263455445178363,-0.00111513079011986
86400.002,3600,1382400,1350,-0.012404482,-0.0250203175957408,0.000251217814769674
86400.002,3600,1382400,675,-0.012855044,-0.0284024781872708,0.00275300669433691
86400.002,3600,1382400,338,-0.021113384,-0.039602459423329,-0.00253778988352511
86400.002,3600,1382400,169,-0.019164051,-0.0389320521389195,0.000702687151613029
86400.002,3600,1382400,84,-0.016683223,-0.0204554002102872,-0.0129074735171011
86400.002,3600,1382400,42,-0.016842934,-0.0199019563909985,-0.0137815631209829
86400.002,3600,1382400,20,-0.017017048,-0.0171734651262451,-0.0168606246777836
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,-0.17458896,-0.365277887009549,0.0278797383462158
86400.002,3600,2764800,10800,-0.024819225,-0.128960644511864,0.0821510808248451
86400.002,3600,2764800,5400,-0.027055001,-0.0728809878430139,0.0193098732835725
86400.002,3600,2764800,2700,-0.019177878,-0.0286527983361124,-0.00968033519357074
86400.002,3600,2764800,1350,-0.020229222,-0.0270357742161752,-0.0134109907191816
86400.002,3600,2764800,675,-0.018908839,-0.0264539961008745,-0.011349346475048
86400.002,3600,2764800,338,-0.030766176,-0.0447418038190646,-0.0167406802907894
86400.002,3600,2764800,169,-0.029832793,-0.0456998537209578,-0.0139014827112417
86400.002,3600,2764800,84,-0.022383325,-0.0251399270657852,-0.0196248058520651
86400.002,3600,2764800,42,-0.022200535,-0.0248933096814553,-0.019505930462009
86400.002,3600,2764800,20,-0.022416009,-0.0225367190540423,-0.0222952949756695
86400.002,3600,5529600,86400,-0.596516194,-0.682848930152779,-0.50528258024794
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,-0.093859007,-0.296665551602345,0.12104421608911
86400.002,3600,5529600,10800,0.031378272,-0.0501791986985429,0.114561416111182
86400.002,3600,5529600,5400,-0.020006689,-0.046040045290961,0.00619835113969388
86400.002,3600,5529600,2700,-0.01145905,-0.0178915921183831,-0.00501617161067286
86400.002,3600,5529600,1350,-0.011928713,-0.0172809457721636,-0.0065693227207511
86400.002,3600,5529600,675,-0.01312011,-0.0184720764559461,-0.00776097783939251
86400.002,3600,5529600,338,-0.018716345,-0.0261797611106023,-0.0112389068056719
86400.002,3600,5529600,169,-0.018998773,-0.0269751556973713,-0.0110063673655061
86400.002,3600,5529600,84,-0.009778099,-0.0126128296862015,-0.00694136521474191
86400.002,3600,5529600,42,-0.010183491,-0.0122153922754888,-0.00815056160864359
86400.002,3600,5529600,20,-0.010247182,-0.0103270772140849,-0.0101672857609197
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,,,
86400.002,3600,86400,5400,-0.063077341,-0.198389973436135,0.0772734132795084
86400.002,3600,86400,2700,-0.046570239,-0.0996596786938501,0.00725909340872051
86400.002,3600,86400,1350,-0.047298173,-0.108675926579441,0.0150718602137059
86400.002,3600,86400,675,-0.049051789,-0.091225951901491,-0.00641101125675003
86400.002,3600,86400,338,-0.064038747,-0.132124892006833,0.00529342720592196
86400.002,3600,86400,169,-0.073255176,-0.13152479572751,-0.0140666082294173
86400.002,3600,86400,84,-0.05563404,-0.0697023047678897,-0.0415139064567625
86400.002,3600,86400,42,-0.054989465,-0.0687910925346566,-0.0411379552897607
86400.002,3600,86400,20,-0.054329546,-0.0552288408900265,-0.0534300396318809
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,,,
86400.002,3600,172800,10800,-0.048578413,-0.3070443642702,0.229044087345786
86400.002,3600,172800,5400,-0.071462188,-0.136538619766096,-0.00523928881447934
86400.002,3600,172800,2700,-0.056358868,-0.0900219320775116,-0.0223969432821551
86400.002,3600,172800,1350,-0.057172097,-0.090574336524995,-0.0234753757876257
86400.002,3600,172800,675,-0.062610368,-0.0994008138799887,-0.0254602133151549
86400.002,3600,172800,338,-0.081642466,-0.11974363356526,-0.0431472619742283
86400.002,3600,172800,169,-0.083386839,-0.120966244005323,-0.0454234378218531
86400.002,3600,172800,84,-0.049468297,-0.0583633933955424,-0.0405526293283956
86400.002,3600,172800,42,-0.049960958,-0.0587153686190881,-0.0411866103785502
86400.002,3600,172800,20,-0.04844566,-0.0489996975130544,-0.047891543872384
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,-0.331763137,-0.469741195645228,-0.186251726170708
86400.002,3600,345600,10800,,,
86400.002,3600,345600,5400,0.122427573,-0.011833677190885,0.260792006550984
86400.002,3600,345600,2700,0.059222766,0.0311408983868796,0.087489454486551
86400.002,3600,345600,1350,0.059890573,0.0274243512173714,0.0926039507854248
86400.002,3600,345600,675,0.056353903,0.0281188086011465,0.0847763597071299
86400.002,3600,345600,338,0.0582418,0.025857363698656,0.0908725313357412
86400.002,3600,345600,169,0.06627815,0.0224291505245405,0.110576594031103
86400.002,3600,345600,84,0.049813103,0.0404946770165318,0.0591519684658805
86400.002,3600,345600,42,0.050404568,0.0419129059047393,0.0589131902733873
86400.002,3600,345600,20,0.051588402,0.0512238648869876,0.0519529695457501
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.465887204,-0.610613273865644,-0.310465985007729
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,,,
86400.002,3600,691200,5400,0.058942277,-0.0393380259921059,0.159531948887939
86400.002,3600,691200,2700,0.019342099,0.00478880872859435,0.0339468041480888
86400.002,3600,691200,1350,0.019249052,-0.00037928500166484,0.0389710448100609
86400.002,3600,691200,675,0.019430854,0.00257881211700427,0.0363518705807363
86400.002,3600,691200,338,0.023900861,-0.00827666270921936,0.0563297532819593
86400.002,3600,691200,169,0.024580771,0.000904599112211681,0.0483926394834357
86400.002,3600,691200,84,0.018044166,0.0127935895050046,0.0233014280577
86400.002,3600,691200,42,0.017439639,0.0104669804724153,0.0244240992525197
86400.002,3600,691200,20,0.018387772,0.0181418033732765,0.0186337543330991
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,-0.463475189,-0.587292825062462,-0.332017765725379
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,0.226672378,-0.225993061340593,0.727588610011337
86400.002,3600,1382400,5400,0.018860858,-0.0453071595027588,0.0840425606087383
86400.002,3600,1382400,2700,-0.007983713,-0.0187434365406706,0.00280486316565855
86400.002,3600,1382400,1350,-0.006038761,-0.0195032197585711,0.00747082247112049
86400.002,3600,1382400,675,-0.005070693,-0.0169047361913051,0.00679815980875662
86400.002,3600,1382400,338,0.001009051,-0.027988150827539,0.0302149176179973
86400.002,3600,1382400,169,-0.001544128,-0.0263961988320372,0.0234614388904137
86400.002,3600,1382400,84,-0.01161594,-0.0158660541973026,-0.00736131551932499
86400.002,3600,1382400,42,-0.010986768,-0.0148596690989245,-0.00711012370733081
86400.002,3600,1382400,20,-0.010591582,-0.0107497448041873,-0.0104334138144193
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,,,
86400.002,3600,2764800,10800,0.335320652,-0.117232713700336,0.831338128702109
86400.002,3600,2764800,5400,0.028930165,-0.0104869334723246,0.0687233336351375
86400.002,3600,2764800,2700,0.003093995,-0.00521080881439068,0.0114157869473972
86400.002,3600,2764800,1350,0.002998955,-0.00508467319285142,0.0110986796810866
