tau_p,tau_v,dur,dti,error,error_lci,error_uci
86400.002,3600,345600,675,-0.06101279,-0.0963301157108835,-0.0253647008658282
86400.002,3600,345600,338,-0.063115444,-0.114876508864329,-0.0106387203377739
86400.002,3600,345600,169,-0.049531592,-0.107187705768285,0.00900118545276828
86400.002,3600,345600,84,-0.07187323,-0.079393866335847,-0.0643375384941842
86400.002,3600,345600,42,-0.072781735,-0.0787225240620718,-0.0668315461468006
86400.002,3600,345600,20,-0.074094898,-0.0744323841887263,-0.0737573806269014
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.442264313,-0.609391285022919,-0.261267003226324
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,-0.176597982,-0.278842459764831,-0.0711045351962181
86400.002,3600,691200,5400,-0.009065587,-0.110256518307214,0.0947496083524472
86400.002,3600,691200,2700,-0.036394662,-0.0584792627595214,-0.0141845310123654
86400.002,3600,691200,1350,-0.039170852,-0.0594285860114022,-0.0188072425825003
86400.002,3600,691200,675,-0.039046729,-0.0609215658176678,-0.0170483990801357
86400.002,3600,691200,338,-0.028500722,-0.0579791646119316,0.00120000223430643
86400.002,3600,691200,169,-0.038679883,-0.0641556535268094,-0.0130365138579136
86400.002,3600,691200,84,-0.039866822,-0.045032235640783,-0.0346945473522058
86400.002,3600,691200,42,-0.039861805,-0.0445579769898553,-0.0351599621031942
86400.002,3600,691200,20,-0.040967978,-0.0412205756909922,-0.0407153631472262
86400.002,3600,1382400,86400,-0.604870407,-0.75361337845888,-0.43987372561282
86400.002,3600,1382400,43200,-0.471732228,-0.563775626624327,-0.375505790448823
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,-0.125509716,-0.226751789631612,-0.0212770236107002
86400.002,3600,1382400,5400,-0.01231683,-0.0691835560668014,0.0453698345742204
86400.002,3600,1382400,2700,-0.018966081,-0.0308211264182512,-0.00707560571847189
86400.002,3600,1382400,1350,-0.019023008,-0.0328529309675356,-0.00514484063172823
86400.002,3600,1382400,675,-0.018935878,-0.0319687833742904,-0.00586014072259507
86400.002,3600,1382400,338,-0.018542794,-0.035883244890868,-0.00112646422254567
86400.002,3600,1382400,169,-0.016713574,-0.0385096145229699,0.0052022675825905
86400.002,3600,1382400,84,-0.016519732,-0.0200208518193034,-0.0130155359866124
86400.002,3600,1382400,42,-0.016743946,-0.020193947491716,-0.0132909573361408
86400.002,3600,1382400,20,-0.017388475,-0.0176139058892027,-0.0171630314553377
86400.002,3600,2764800,86400,-0.589994021,-0.727492904350639,-0.439456119221019
86400.002,3600,2764800,43200,-0.470037898,-0.545154710477098,-0.392178951583726
86400.002,3600,2764800,21600,-0.033233491,-0.469591626358304,0.463532330271365
86400.002,3600,2764800,10800,-0.084436311,-0.168152485518494,0.00121703850120466
86400.002,3600,2764800,5400,-0.040093129,-0.0725438614802095,-0.00736951952164417
86400.002,3600,2764800,2700,-0.034508643,-0.0431930507169234,-0.0258049308937875
86400.002,3600,2764800,1350,-0.03524941,-0.0441456005234565,-0.0263329461197069
86400.002,3600,2764800,675,-0.03421637,-0.0441462854351483,-0.0242612162580087
86400.002,3600,2764800,338,-0.03661709,-0.0491216340059155,-0.0240723974306804
86400.002,3600,2764800,169,-0.036294089,-0.0482220618837891,-0.0243296011338112
86400.002,3600,2764800,84,-0.03087173,-0.0337973222719185,-0.0279439592028772
86400.002,3600,2764800,42,-0.030413619,-0.033107638072761,-0.0277177533034119
86400.002,3600,2764800,20,-0.030889145,-0.0310014315680262,-0.0307768544199983
86400.002,3600,5529600,86400,-0.554892801,-0.66933128862252,-0.432486572403178
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,,,
86400.002,3600,5529600,10800,-0.034169939,-0.104502732356731,0.0374513817383774
86400.002,3600,5529600,5400,-0.010209531,-0.0331780068754039,0.0128911429451618
86400.002,3600,5529600,2700,-0.003056093,-0.00884187776623952,0.00273798205118159
86400.002,3600,5529600,1350,-0.002993531,-0.00918047302397972,0.00320289142257045
86400.002,3600,5529600,675,-0.002663504,-0.00847073291886912,0.00315207363237961
86400.002,3600,5529600,338,-0.008560872,-0.0159847211768859,-0.00112329178677264
86400.002,3600,5529600,169,-0.007925726,-0.0154475744432069,-0.000389788956505275
86400.002,3600,5529600,84,-0.000683745,-0.0024619742917701,0.00109526486435408
86400.002,3600,5529600,42,-0.000664528,-0.00284152976397656,0.00151364431356675
86400.002,3600,5529600,20,-0.000833999,-0.000915710883597296,-0.000752284667090451
